Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%),NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
3/31/2014,Ameria,7,1,1,1,,,,,,,,1,3.85,0.25974026,6762639,174225139,-1480054,175705193,21.89,21.89,0,338970490,300121060,38849430,25447680,180622357,212441803,212441803,0,1445747,2,15,6009065,3090655,2918410,496634,102197,394437,0,119661,3899035,232543,1804276,0,1862216,416469,1445747,,,,0.462749373,2.160996985,980625.00,19525121.00
3/31/2014,IDbank,7,1,,,,1,1,,1,2,,,6.84,0.14619883,3027148,43164770,-1060886,44225656,35.05,35.05,0,63651867,51085066,12566801,10816300,42797617,38875555,38875555,0,-503344,-3,-16,1376266,923597,452669,184670,23900,160770,88,-116345,536165,367206,672303,0,-503344,0,-503344,,,,1.253910643,0.797504994,83496.00,538289.00
3/31/2014,Ararat,24,3,2,3,2,3,2,1,4,2,,1,1.75,0.571428571,1095646,61457614,-1071467,62529081,97.79,97.79,0,131789357,111214052,20575305,6387505,61457614,71261056,72506753,1245697,1103221,3,22,2850982,1172560,1678422,238223,75739,162484,0,-143160,1934237,-136954,833337,0,1237854,134633,1103221,,,,0.430835001,2.321074188,255815.00,13515453.00
3/31/2014,AREXIM,7,1,,,1,2,2,,2,1,,,20.15,0.049627792,18424615,89955920,-1477767,91433687,8.02,8.02,0,170830565,149211956,21618609,16452130,89955920,104143078,104143078,0,289020,1,5,2727929,1599645,1128284,206550,112281,94269,0,247607,1620889,148617,1122121,0,350151,61131,289020,,,,0.692287381,1.444486824,492605.00,2862659.00
3/31/2014,ArmSwiss,1,,,,,,,,,,,,8.06,0.124069479,2539165,30282610,-1214748,31497358,47.84,47.84,0,68337498,47406391,20931107,8752800,30282610,24587070,24587070,0,667978,4,13,1768947,828143,940804,38421,14155,24266,0,25067,1077679,16239,223462,0,837978,170000,667978,,,,0.20735488,4.822649942,136875.00,31104262.00
3/31/2014,Artsakh,7,,,,,,,,,,,15,11.03,0.090661831,6821806,59661874,-2164483,61826357,31.73,31.73,0,85917040,72593768,13323272,6561150,59661874,51737313,51737313,0,-307241,-1,-9,2456401,1524802,931599,138732,36898,101834,0,72855,1167533,742521,732253,0,-307241,0,-307241,,,,0.627179703,1.594439353,235934.00,6498893.00
3/31/2014,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,6.75,0.148148148,11584313,166625043,-5057335,171682378,43.66,43.66,0,277470735,232808527,44662208,13802404,166625043,182106275,182106275,0,1548322,2,14,6479937,3563142,2916795,856002,139142,716860,0,-77515,4899352,985517,1966650,0,1947185,398863,1548322,,,,0.401410227,2.491217046,1982557.00,15386310.00
3/31/2014,BTA,6,,,,,,,,1,,,,5.41,0.184842884,350981,6193105,-110918,6304023,32.51,31.6,0,13054855,7353189,5701666,6520000,6193105,3908751,3908751,0,-14798,0,-1,309465,125906,183559,45637,26872,18765,0,-9313,191141,-14931,219240,0,-13168,1630,-14798,,,,1.14700666,0.871834519,7582.00,1009419.00
3/31/2014,Byblos,4,1,,,,,,,,,,,23.51,0.042535091,5816931,23383888,-1361550,24745438,23.41,23.41,0,40988589,32129256,8859333,8125100,23383888,25582096,25582096,0,-99654,-1,-4,829131,513772,315359,19027,10470,8557,0,-8747,336590,38912,316720,0,-19042,80612,-99654,,,,0.940966755,1.062736802,21231.00,5164739.00
3/31/2014,Converse,14,2,2,2,1,5,3,1,3,1,,1,4.53,0.220750552,3721119,78916400,-3201910,82118310,86.05,86.05,0,124722882,105709540,19013342,4860033,78916400,87053420,87053420,0,201435,1,4,2954600,1526904,1427696,340497,129445,211052,654,31348,1906819,230275,1418293,0,258251,56816,201435,,,,0.743800539,1.344446458,479123.00,7645674.00
