,level_0,Banks name,level_1,LoanPortfolio(net),TotalAssets,TotalLiabilities,TotalCapital,Liabilitiestocustomers(incl.securities),Bonds Attracted,Netinterestincome,Net non-interest,Profit/(loss)aftertax,NPL (%)_r,"ROA
(Annualized)","ROE
(Annualized)",Cost of credit risk_r,Index,Month,Year,Y-M
22,2020-09-30,Evoca,22,0.15812280191868458,0.1531916221970638,0.1660422573038549,0.06383708331512333,0.17433251692285426,0.03328562512441963,0.1587007350825568,0.09185185649648855,0.03805309397323707,0.08952879581151835,0.25,0.14285714285714282,0.12766690271302483,-0.045042487440195234,9,2020,2020_9
23,2020-09-30,HSBC,23,0.1968970333240491,0.18709811722676253,0.19087105485573708,0.172962713225441,0.24565283193556603,0.09321801351004257,0.22053915532158805,0.27856695961188666,0.15443199639489308,0.6031413612565446,0.25,0.2857142857142857,0.0,-0.06298442633249157,9,2020,2020_9
24,2020-09-30,IDbank,24,0.11596326503628561,0.11997921988196886,0.11936633036045176,0.1869827516589263,0.13293556590198366,0.10413462145893541,0.1895654324707375,0.09125598589348358,0.01621371297899249,0.12827225130890052,0.25,0.0,0.025713053249819318,-0.05924628123798516,9,2020,2020_9
25,2020-09-30,Ineco,25,0.32387413077079424,0.36844860375733635,0.36384619815432695,0.34320269755634725,0.345877488767474,0.3329379804772167,0.5664475294834441,0.2925588478554831,0.30949968534608685,0.14450261780104712,0.25,0.4285714285714285,0.3053556486778789,-0.0027344461282664935,9,2020,2020_9
26,2020-09-30,Mellat,26,0.0,0.0,0.0,0.1250646794617809,0.0,0.11111175247978643,0.03420264938725849,0.045182216681751215,0.08979710872649455,0.10157068062827226,0.75,0.21428571428571427,0.5355430465056767,0.0827260816624225,9,2020,2020_9
27,2020-09-30,Uni,27,0.21792495990408475,0.1977417052729822,0.2136954494293456,0.05255539243732332,0.2758739666597541,0.024473315730819123,0.22859916026413282,0.0,0.0,1.0,0.0,0.0,0.14910805911299274,-0.1453489328398149,9,2020,2020_9
28,2020-09-30,VTB,28,0.2937911349691651,0.28940551267783454,0.28870716928736173,0.26639265651207533,0.37930671027928603,0.0336668527786516,0.650038713460144,0.04118139919666219,0.2648269650628603,0.6371727748691101,0.25,0.4285714285714285,0.17491663964335513,-0.0504169571455238,9,2020,2020_9
29,2020-12-31,ABB,29,0.9092546446711915,0.760179673722646,0.8104240114709361,0.20194011938860496,0.8581706353160161,0.2479262150899273,0.4029148005832924,1.0,0.0,0.15423443634324174,0.0,0.0,0.3316131043915521,-0.18490246764195867,12,2020,2020_12
30,2020-12-31,ACBA,30,0.45580331050475836,0.4125764814954756,0.41112350985686874,0.5112009511980979,0.4282229920618236,0.010540093269315251,0.7186657480366949,0.3430062753042652,0.26130040913108676,0.2406057206954571,0.3333333333333333,0.3333333333333333,0.044883152795011316,-0.062009206228117376,12,2020,2020_12
31,2020-12-31,Ameria,31,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,0.22553017192310038,1.0,0.6270490506532346,0.8832348619367163,0.19798093101514302,0.3333333333333333,0.75,0.20051516127517277,-0.037169348897253165,12,2020,2020_12
32,2020-12-31,Ararat,32,0.19005597713255856,0.16902187821852016,0.1839474871825048,0.10862230597948769,0.1535758547879231,0.12213512639301695,0.17578810720543203,0.08234747768882694,0.1241467020811545,0.22209758833426813,0.3333333333333333,0.25,0.01653101874904439,-0.027863617812087592,12,2020,2020_12
33,2020-12-31,Armswiss,33,0.15371113440495682,0.30450215575460254,0.3031689550616191,0.4167144296324969,0.2771041101379261,1.0,0.234426280223762,0.3154309504444754,0.5884867501406533,0.25406618059450364,0.6666666666666666,0.75,0.9999999999999999,0.20096962135968868,12,2020,2020_12
34,2020-12-31,Artsakh,34,0.1457011615836149,0.11097028323017091,0.11674762207398148,0.16632816596259398,0.13950526653865236,0.14915030101098536,0.23528695334857175,0.0,0.1699323585396786,0.008412787436904094,0.3333333333333333,0.3333333333333333,0.29743969566148454,0.022760776410765505,12,2020,2020_12
