Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
9/30/2020,Econom,30,3,1,2,2,6,2,1,2,2,1,1,0.39,769655,195067470,-1814019,196881489,235.69,235.69,-0.04,319139670,275476884,43662786,25955663,195067470,115640855,121398791,5757936,4338128,2,14,19169260,9494076,9675184,1826898,564829,1262069,0,-1829189,11395339,-52342,5482897,0,5964783,1626655,4338128,207688306,110030901,1420463,0.481152621,2.078342622,1720155,43630900
9/30/2020,Evoca,10,1,0,0,0,1,0,0,1,0,0,0,2.1,2472574,114925707,-3040643,117966350,122.97,122.97,2.57,200851251,165476046,35375205,20000000,114925707,115134542,117429916,2295374,1137975,1,5,11213385,5490357,5723028,818509,544429,274080,0,-262768,6473368,2180800,2871563,0,1421005,283030,1137975,109381133,90549665,920453,0.44359644,2.254301229,750340,18577843
9/30/2020,HSBC,8,0,0,0,0,0,0,0,0,0,0,0,11.91,17220888,139020738,-5609988,144630726,32.58,32.58,0.68,229191829,185334558,43857271,18434350,139020738,163197245,163197245,0,2268092,1,7,9270962,2103862,7167100,1840471,479780,1360691,0,79953,9823225,683263,6440180,0,2699782,431690,2268092,117103577,110481593,1606659,0.655607502,1.525302863,2656125,29168222
9/30/2020,IDbank,10,1,0,0,0,1,1,0,1,0,0,0,2.84,2728868,88726984,-7224733,95951717,264.75,264.75,2.12,173090827,128143813,44947014,33971850,88726984,78931706,90864864,11933158,925900,1,3,10209084,3765293,6443791,1017957,333442,684515,1940,-291527,7188049,1479314,4298742,0,1409993,484093,925900,96457213,71810106,4823508,0.598040164,1.672128496,744258,31097246
9/30/2020,Ineco,18,2,0,0,1,2,1,1,1,0,0,0,3.15,7180944,217926676,-10022410,227949086,139.57,139.57,4.41,380772746,323683141,57089605,14545680,217926676,217037812,227512929,10475117,3773903,1,9,26202058,10957187,15244871,2147052,1198234,948818,0,331162,18043810,7881507,5519787,0,4642516,868613,3773903,235062512,144304356,1405878,0.305910282,3.268932294,2798939,71528044
9/30/2020,Mellat,1,0,0,0,0,0,0,0,0,0,0,0,2.33,396598,16665247,-330848,16996095,83.42,83.42,3.36,72806783,32672508,40134275,32100000,16665247,5558093,5558093,0,1640444,3,6,2853996,38290,2815706,207911,38224,169687,0,9895,3089693,367431,674114,0,2048148,407704,1640444,43547483,28912830,346470,0.218181547,4.58333903,273987,32330143
9/30/2020,Uni,30,4,1,3,2,2,2,2,2,3,1,2,19.49,32120010,152087884,-12731419,164819303,39.64,39.64,2.65,238088220,203589913,34498307,20489653,152087884,172664252,182590606,9926354,768454,0,3,14434307,7078987,7355320,1572325,435410,1136915,0,-2731343,7168136,3193287,3015961,0,958888,190434,768454,124475914,107718346,5893960,0.420745505,2.37673365,-187184,17020660
9/30/2020,VTB,28,5,4,4,5,6,3,4,7,4,3,0,12.56,28266905,199232541,-25792805,225025346,91.25,91.25,4.18,314704965,263585615,51119350,63775674,199232541,248964968,248964968,0,3340101,1,9,26782060,9585139,17196921,2035375,1014797,1020578,0,-1996365,17430072,6848528,6905447,0,3676097,335996,3340101,216434473,94777624.37,3492867.34,0.39618007,2.524104759,233151,18645208
12/31/2020,ABB,30,3,2,3,3,3,1,3,4,4,0,7,3.44,22577231,635054512,-21741251,656795763,96.3,96.3,3.11,847795743,802086080,45709663,42090187,635054512,603633107,606549782,2916675,88003,0,0,54099796,38381374,15718422,7250865,2022728,5228137,0,3323701,31468142,19298377,11791060,0,378705,290702,88003,477878664,364472396,5444683,0.27208018,3.67538716,15749720,67332677
12/31/2020,ACBA,18,5,4,4,4,5,4,5,6,4,2,0,4.98,16976036,328035951,-13082663,341118614,77.07,77.07,3.29,495631691,425122589,70509102,30000000,328035951,296944080,305445040,8500960,2724631,1,4,46090166,20185734,25904432,4916294,1868608,3047686,399958,-403064,31168203,10724728,16669558,0,3773917,1049286,2724631,304010481,189820620,1800590,0.534825765,1.869767811,5263771,18708862
12/31/2020,Ameria,12,1,1,2,0,1,1,0,1,0,1,0,4.22,30376170,696495523,-23591602,720087125,77.66,77.66,2.79,1090762723,981057121,109705602,37386880,696495523,598960666,705876979,106916313,9000204,1,9,66544861,31564689,34980172,5250022,1471612,3778410,0,601698,44777408,17882951,15712328,0,11182129,2181925,9000204,380162200.6,702739888,7860634,0.350898561,2.849826449,9797236,62745294
12/31/2020,Ararat,27,4,4,3,2,5,2,1,6,2,0,1,4.65,7130697,148106248,-5348938,153455186,75.01,75.01,1.56,248881437,210654873,38226564,8803655,148222057,97936482,113101724,15165242,1340694,1,3,17554101,9162703,8391398,1786012,795693,990319,0,-1155793,9494924,2264031,5614224,0,1616669,275975,1340694,120215910,127823581,841946,0.591286881,1.691226429,1103526,41566880
