,level_0,Banks name,level_1,NPL (%)_r,"ROA
(Annualized)","ROE
(Annualized)",Cost of credit risk_r,Index,Month,Year
19,2020-09-30,Byblos,19,0.09476439790575919,0.25,0.07142857142857142,0.134879480687759,-0.04216969643963872,9,2020
20,2020-09-30,Converse,20,0.23769633507853402,0.25,0.4999999999999999,0.05544366071289003,-0.03229699026156417,9,2020
21,2020-09-30,Econom,21,0.0,0.5,0.7857142857142857,0.09685189487610962,-0.05967127997511233,9,2020
22,2020-09-30,Evoca,22,0.08952879581151835,0.25,0.14285714285714282,0.12766690271302483,-0.04385378104939837,9,2020
23,2020-09-30,HSBC,23,0.6031413612565446,0.25,0.2857142857142857,0.0,0.012276706327123913,9,2020
24,2020-09-30,IDbank,24,0.12827225130890052,0.25,0.0,0.025713053249819318,-0.050696315695839635,9,2020
25,2020-09-30,Ineco,25,0.14450261780104712,0.25,0.4285714285714285,0.3053556486778789,-0.014838182770617105,9,2020
26,2020-09-30,Mellat,26,0.10157068062827226,0.75,0.21428571428571427,0.5355430465056767,0.009634673662647785,9,2020
27,2020-09-30,Uni,27,1.0,0.0,0.0,0.14910805911299274,0.08509288046486232,9,2020
28,2020-09-30,VTB,28,0.6371727748691101,0.25,0.4285714285714285,0.17491663964335513,0.038175028010974194,9,2020
29,2020-12-31,ABB,29,0.15423443634324174,0.0,0.0,0.3316131043915521,-0.010955691498545205,12,2020
30,2020-12-31,ACBA,30,0.2406057206954571,0.3333333333333333,0.3333333333333333,0.044883152795011316,-0.03262925952494933,12,2020
31,2020-12-31,Ameria,31,0.19798093101514302,0.3333333333333333,0.75,0.20051516127517277,-0.020080977179530616,12,2020
32,2020-12-31,Ararat,32,0.22209758833426813,0.3333333333333333,0.25,0.01653101874904439,-0.03858121338020096,12,2020
33,2020-12-31,Armswiss,33,0.25406618059450364,0.6666666666666666,0.75,0.9999999999999999,0.08655475419226503,12,2020
34,2020-12-31,Artsakh,34,0.008412787436904094,0.3333333333333333,0.3333333333333333,0.29743969566148454,-0.03435855867677231,12,2020
35,2020-12-31,ASHB,35,0.36623667975322494,0.3333333333333333,1.0,0.27746184252120687,0.012550709720106133,12,2020
36,2020-12-31,Byblos,36,0.08300616937745373,0.3333333333333333,0.41666666666666663,0.12325961105755157,-0.04521359713413325,12,2020
37,2020-12-31,Converse,37,0.3073471676948963,0.3333333333333333,0.5,0.06196639661942299,-0.02139106472840557,12,2020
38,2020-12-31,Econom,38,0.0,0.6666666666666666,0.9166666666666666,0.10941131878184185,-0.05753267119399203,12,2020
39,2020-12-31,Evoca,39,0.14806505888951207,0.0,0.16666666666666666,0.07033654272533618,-0.04379014498818331,12,2020
40,2020-12-31,HSBC,40,0.6461020751542346,0.3333333333333333,0.41666666666666663,0.0,0.018520761529755164,12,2020
41,2020-12-31,IDbank,41,0.8255748738081885,0.3333333333333333,0.25,0.0007514540458599672,0.043880391172410424,12,2020
42,2020-12-31,Ineco,42,0.2546270330902973,0.3333333333333333,0.75,0.2371655637497435,-0.007699818038388595,12,2020
43,2020-12-31,Mellat,43,0.1250701065619742,1.0,0.41666666666666663,0.4127401234729946,-0.001116308368091566,12,2020
44,2020-12-31,Uni,44,1.0,0.0,0.08333333333333333,0.10524464652480026,0.07966791309021216,12,2020
45,2020-12-31,VTB,45,0.5967470555243971,0.3333333333333333,0.3333333333333333,0.14492870020772552,0.029344748576198332,12,2020
46,2021-03-31,ABB,46,0.1389177939646202,0.3333333333333333,0.5,0.567269140724243,0.01655595064799703,3,2021
47,2021-03-31,ACBA,47,0.1644120707596254,0.3333333333333333,0.30000000000000004,0.08113622812525217,-0.038836333889409255,3,2021
48,2021-03-31,Ameria,48,0.172216441207076,0.6666666666666666,0.8,0.25534803464197636,-0.015569835916771581,3,2021
49,2021-03-31,Ararat,49,0.131633714880333,1.0,1.0,0.17236367639478123,-0.030059550961902968,3,2021
50,2021-03-31,Armswiss,50,0.3454734651404787,0.6666666666666666,0.6,0.9999999999999998,0.09949173034991528,3,2021
51,2021-03-31,Artsakh,51,0.015088449531737776,1.0,0.8,0.45010894452796263,-0.012344892170826873,3,2021
52,2021-03-31,ASHB,52,0.3511966701352758,0.3333333333333333,0.7000000000000001,0.39247559636638457,0.02475712136116966,3,2021
53,2021-03-31,Byblos,53,0.07336108220603539,0.3333333333333333,0.30000000000000004,0.08084967785278807,-0.051602540556638515,3,2021
54,2021-03-31,Converse,54,0.35691987513007284,0.3333333333333333,0.5,0.05191807841980994,-0.01568242237576404,3,2021
55,2021-03-31,Econom,55,0.0,0.0,0.0,0.06625111452255789,-0.06481762815310768,3,2021
56,2021-03-31,Evoca,56,0.17845993756503642,0.3333333333333333,0.30000000000000004,0.0774453824834816,-0.037321265730310395,3,2021
57,2021-03-31,HSBC,57,0.5900104058272633,0.6666666666666666,0.7000000000000001,0.037982461213088625,0.016498188716729277,3,2021
58,2021-03-31,IDbank,58,0.4864724245577523,0.3333333333333333,0.30000000000000004,0.0,-0.0036784811943936886,3,2021
59,2021-03-31,Ineco,59,0.2601456815816857,0.6666666666666666,0.8,0.5376925486969115,0.031087742518067712,3,2021
60,2021-03-31,Mellat,60,0.10561914672216444,1.0,0.35,0.4555667154644501,0.001445401169206589,3,2021
61,2021-03-31,Uni,61,1.0000000000000002,0.0,0.15000000000000002,0.4071000145752765,0.11633597612634412,3,2021
62,2021-03-31,VTB,62,0.5124869927159209,0.0,0.15000000000000002,0.18769491190353677,0.02146608089850422,3,2021
63,2021-06-30,ABB,63,0.21391899600684539,0.0,0.0,0.5027868444122026,0.018222491844943633,6,2021
64,2021-06-30,ACBA,64,0.32002281802624066,0.2,0.23809523809523808,0.17223713217902387,-0.006522976525934307,6,2021
65,2021-06-30,Ameria,65,0.17056474614945805,0.4,0.8095238095238095,0.28509419932758134,-0.01338418354677904,6,2021
66,2021-06-30,Ararat,66,0.22818026240730171,0.4,0.5238095238095237,0.1598587820467401,-0.02027298559828839,6,2021
67,2021-06-30,Armswiss,67,0.19566457501426127,0.6000000000000001,0.7619047619047619,1.0,0.07807786046600716,6,2021
68,2021-06-30,Artsakh,68,0.1334854535082715,1.0,1.0,0.3016159984285193,-0.014069970532705237,6,2021
69,2021-06-30,ASHB,69,0.3593839132915002,0.2,0.6666666666666666,0.4010903872861579,0.02638812447877481,6,2021
70,2021-06-30,Byblos,70,0.0713063320022818,0.2,0.14285714285714285,0.08242129806404974,-0.052132210794855534,6,2021
71,2021-06-30,Converse,71,0.3776383342840844,0.2,0.19047619047619047,0.058715742339447374,-0.012233462948628543,6,2021
72,2021-06-30,Econom,72,0.0,0.2,0.47619047619047616,0.09274652122983656,-0.06119236362760862,6,2021
73,2021-06-30,Evoca,73,0.10211066742726753,0.0,0.0,0.12143843005000737,-0.043823286789406814,6,2021
74,2021-06-30,HSBC,74,0.5573302909298345,0.4,0.42857142857142855,0.04562265981530916,0.011946703202021144,6,2021
75,2021-06-30,IDbank,75,0.5898459783228751,0.2,0.14285714285714285,0.0,0.01034223480294693,6,2021
76,2021-06-30,Ineco,76,0.18197375926982318,0.4,0.5238095238095237,0.36702005898969864,-0.0015213040169458631,6,2021
77,2021-06-30,Mellat,77,0.20422133485453503,0.6000000000000001,0.2857142857142857,0.5321167347037674,0.022825252846168015,6,2021
78,2021-06-30,Uni,78,0.9999999999999999,0.0,0.047619047619047616,0.470356128218641,0.12414092011727766,6,2021
79,2021-06-30,VTB,79,0.587564175698802,0.0,0.0,0.22340976154106357,0.036466354777064745,6,2021
80,2021-09-30,ABB,80,0.18355119825708063,0.0,0.0,0.47727638038950687,0.010871520035661655,9,2021
81,2021-09-30,ACBA,81,0.2837690631808279,0.5,0.8125,0.1805633665527932,-0.00983259124447814,9,2021
82,2021-09-30,Ameria,82,0.14760348583877997,0.5,1.0,0.27191722015806014,-0.017948690513042084,9,2021
83,2021-09-30,Ararat,83,0.22167755991285404,0.25,0.5625,0.10862057639059236,-0.02812986639960728,9,2021
84,2021-09-30,Armswiss,84,0.24128540305010898,0.5,0.75,1.0,0.08402156314338857,9,2021
85,2021-09-30,Artsakh,85,0.11928104575163401,1.0,1.0,0.3713366037614109,-0.007570772982315952,9,2021
86,2021-09-30,ASHB,86,0.2843137254901961,0.25,0.8125,0.35620688926716176,0.010501116766547993,9,2021
87,2021-09-30,Byblos,87,0.0724400871459695,0.25,0.1875,0.0774658493217496,-0.05239933102762611,9,2021
88,2021-09-30,Converse,88,0.36002178649237476,0.25,0.1875,0.06181923592096611,-0.014092088598322816,9,2021
89,2021-09-30,Econom,89,0.0,0.25,0.5625,0.08393896442137133,-0.06213011829964638,9,2021
90,2021-09-30,Evoca,90,0.06917211328976036,0.0,0.0625,0.1147598424910164,-0.04930671089483943,9,2021
91,2021-09-30,HSBC,91,0.568082788671024,0.5,0.5,0.04586348257675521,0.013852954010001335,9,2021
92,2021-09-30,IDbank,92,0.40904139433551195,0.25,0.1875,0.0,-0.014761565566032213,9,2021
93,2021-09-30,Ineco,93,0.1328976034858388,0.5,0.8125,0.3843063545755328,-0.006131856846794776,9,2021
94,2021-09-30,Mellat,94,0.159041394335512,0.75,0.3125,0.6314195874240098,0.02923722662414583,9,2021
95,2021-09-30,Uni,95,1.0,0.0,0.125,0.4298768448420453,0.11913400182199875,9,2021
96,2021-09-30,VTB,96,0.33496732026143794,0.0,0.0,0.21977544420405076,0.0007043308026767572,9,2021
97,2021-12-31,ABB,97,0.10789149198520347,0.0,0.0,0.36960269165227094,-0.0128121345518574,12,2021
98,2021-12-31,ACBA,98,0.25462392108508014,0.6666666666666666,0.8666666666666667,0.057155703757621024,-0.028237354639106864,12,2021
99,2021-12-31,Ameria,99,0.1720098643649815,0.6666666666666666,1.0,0.22577342535516348,-0.019405865715597242,12,2021
100,2021-12-31,Ararat,100,0.07090012330456229,0.3333333333333333,0.2,0.08667797226537516,-0.05113343179305666,12,2021
101,2021-12-31,Armswiss,101,0.23674475955610358,0.6666666666666666,0.8,1.0,0.08408082071955274,12,2021
102,2021-12-31,Artsakh,102,0.1504315659679408,1.0,0.7333333333333334,0.2669685749449154,-0.015640201168186367,12,2021
103,2021-12-31,ASHB,103,0.3187422934648582,0.3333333333333333,0.9333333333333333,0.344851461403292,0.01418065192668557,12,2021
104,2021-12-31,Byblos,104,0.06781750924784218,0.3333333333333333,0.2,0.027338361515381826,-0.05878639207385293,12,2021
105,2021-12-31,Converse,105,0.36868064118372385,0.3333333333333333,0.4666666666666667,0.06117551146777256,-0.012876652892407036,12,2021
106,2021-12-31,Econom,106,0.0,0.3333333333333333,0.4,0.06731838425986475,-0.0636110662517196,12,2021
107,2021-12-31,Evoca,107,0.04315659679408139,0.3333333333333333,0.13333333333333336,0.0684759891415252,-0.057158726929590134,12,2021
108,2021-12-31,HSBC,108,0.7053020961775587,0.3333333333333333,0.4,0.05539897678208888,0.03355813570879634,12,2021
109,2021-12-31,IDbank,109,0.468557336621455,0.3333333333333333,0.26666666666666666,0.0,-0.006148855797839727,12,2021
110,2021-12-31,Ineco,110,0.09617755856966709,0.6666666666666666,1.0,0.313226942415396,-0.019365690705405652,12,2021
111,2021-12-31,Mellat,111,0.21948212083847105,1.0,0.33333333333333337,0.6305850069623886,0.03868437233909667,12,2021
112,2021-12-31,Uni,112,1.0000000000000002,0.0,0.0,0.40852177345331847,0.11666483585671107,12,2021
113,2021-12-31,VTB,113,0.24845869297163997,0.0,0.13333333333333336,0.20214437793215528,-0.013676159456942212,12,2021
