,Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
20,2020-09-30,Converse,16.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,0.0,1.0,4.93,11411661.0,225919633.0,-5380197.0,231299830.0,47.15,47.15,1.15,324565169.0,274529937.0,50035232.0,19947633.0,225919632.0,221463249.0,242087913.0,20624664.0,3407346.0,1.0,10.0,19136288.0,8778187.0,10358101.0,2201021.0,935058.0,1265963.0,0.0,852280.0,13956300.0,1998439.0,7577142.0,0.0,4380719.0,973373.0,3407346.0,127164633.2,194739101.4,2661434.39,0.542919112,1.8418950040000002,3598199.0,32500305.0
21,2020-09-30,Econom,30.0,3.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,0.39,769655.0,195067470.0,-1814019.0,196881489.0,235.69,235.69,-0.04,319139670.0,275476884.0,43662786.0,25955663.0,195067470.0,115640855.0,121398791.0,5757936.0,4338128.0,2.0,14.0,19169260.0,9494076.0,9675184.0,1826898.0,564829.0,1262069.0,0.0,-1829189.0,11395339.0,-52342.0,5482897.0,0.0,5964783.0,1626655.0,4338128.0,207688306.0,110030901.0,1420463.0,0.481152621,2.078342622,1720155.0,43630900.0
22,2020-09-30,Evoca,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,2472574.0,114925707.0,-3040643.0,117966350.0,122.97,122.97,2.57,200851251.0,165476046.0,35375205.0,20000000.0,114925707.0,115134542.0,117429916.0,2295374.0,1137975.0,1.0,5.0,11213385.0,5490357.0,5723028.0,818509.0,544429.0,274080.0,0.0,-262768.0,6473368.0,2180800.0,2871563.0,0.0,1421005.0,283030.0,1137975.0,109381133.0,90549665.0,920453.0,0.44359644,2.254301229,750340.0,18577843.0
23,2020-09-30,HSBC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.91,17220888.0,139020738.0,-5609988.0,144630726.0,32.58,32.58,0.68,229191829.0,185334558.0,43857271.0,18434350.0,139020738.0,163197245.0,163197245.0,0.0,2268092.0,1.0,7.0,9270962.0,2103862.0,7167100.0,1840471.0,479780.0,1360691.0,0.0,79953.0,9823225.0,683263.0,6440180.0,0.0,2699782.0,431690.0,2268092.0,117103577.0,110481593.0,1606659.0,0.6556075020000001,1.525302863,2656125.0,29168222.0
24,2020-09-30,IDbank,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.84,2728868.0,88726984.0,-7224733.0,95951717.0,264.75,264.75,2.12,173090827.0,128143813.0,44947014.0,33971850.0,88726984.0,78931706.0,90864864.0,11933158.0,925900.0,1.0,3.0,10209084.0,3765293.0,6443791.0,1017957.0,333442.0,684515.0,1940.0,-291527.0,7188049.0,1479314.0,4298742.0,0.0,1409993.0,484093.0,925900.0,96457213.0,71810106.0,4823508.0,0.5980401639999999,1.672128496,744258.0,31097246.0
25,2020-09-30,Ineco,18.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.15,7180944.0,217926676.0,-10022410.0,227949086.0,139.57,139.57,4.41,380772746.0,323683141.0,57089605.0,14545680.0,217926676.0,217037812.0,227512929.0,10475117.0,3773903.0,1.0,9.0,26202058.0,10957187.0,15244871.0,2147052.0,1198234.0,948818.0,0.0,331162.0,18043810.0,7881507.0,5519787.0,0.0,4642516.0,868613.0,3773903.0,235062512.0,144304356.0,1405878.0,0.305910282,3.268932294,2798939.0,71528044.0
26,2020-09-30,Mellat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,396598.0,16665247.0,-330848.0,16996095.0,83.42,83.42,3.36,72806783.0,32672508.0,40134275.0,32100000.0,16665247.0,5558093.0,5558093.0,0.0,1640444.0,3.0,6.0,2853996.0,38290.0,2815706.0,207911.0,38224.0,169687.0,0.0,9895.0,3089693.0,367431.0,674114.0,0.0,2048148.0,407704.0,1640444.0,43547483.0,28912830.0,346470.0,0.218181547,4.58333903,273987.0,32330143.0
27,2020-09-30,Uni,30.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,19.49,32120010.0,152087884.0,-12731419.0,164819303.0,39.64,39.64,2.65,238088220.0,203589913.0,34498307.0,20489653.0,152087884.0,172664252.0,182590606.0,9926354.0,768454.0,0.0,3.0,14434307.0,7078987.0,7355320.0,1572325.0,435410.0,1136915.0,0.0,-2731343.0,7168136.0,3193287.0,3015961.0,0.0,958888.0,190434.0,768454.0,124475914.0,107718346.0,5893960.0,0.420745505,2.37673365,-187184.0,17020660.0
28,2020-09-30,VTB,28.0,5.0,4.0,4.0,5.0,6.0,3.0,4.0,7.0,4.0,3.0,0.0,12.56,28266905.0,199232541.0,-25792805.0,225025346.0,91.25,91.25,4.18,314704965.0,263585615.0,51119350.0,63775674.0,199232541.0,248964968.0,248964968.0,0.0,3340101.0,1.0,9.0,26782060.0,9585139.0,17196921.0,2035375.0,1014797.0,1020578.0,0.0,-1996365.0,17430072.0,6848528.0,6905447.0,0.0,3676097.0,335996.0,3340101.0,216434473.0,94777624.37,3492867.34,0.39618007,2.524104759,233151.0,18645208.0
29,2020-12-31,ABB,30.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,0.0,7.0,3.44,22577231.0,635054512.0,-21741251.0,656795763.0,96.3,96.3,3.11,847795743.0,802086080.0,45709663.0,42090187.0,635054512.0,603633107.0,606549782.0,2916675.0,88003.0,0.0,0.0,54099796.0,38381374.0,15718422.0,7250865.0,2022728.0,5228137.0,0.0,3323701.0,31468142.0,19298377.0,11791060.0,0.0,378705.0,290702.0,88003.0,477878664.0,364472396.0,5444683.0,0.27208018,3.67538716,15749720.0,67332677.0
